timestamp,amount,merchant,description,category
2025-02-22 13:32:43.083624,225.45,Redbox Karaoke,Adventure park tickets,Entertainment
2025-03-04 04:55:48.888625,237.57,Alpro Pharmacy,Over-the-counter meds,Health
2024-11-03 15:46:05.841013,37.74,Easybook,Bus ticket to Penang,Transport
2025-02-12 08:39:19.302001,45.02,Shell,Car rental,Transport
2024-10-31 07:42:15.995372,91.54,Econsave,Organic food purchase,Groceries
2024-11-01 20:51:04.896101,138.21,99 Speedmart,Beverages and snacks,Groceries
2025-06-01 00:31:52.184188,97.67,Optical 88,Vitamins purchase,Health
2024-08-17 04:47:10.879857,13.22,Coffee Bean,Healthy smoothie,Food & Drink
2025-03-05 13:09:47.357071,632.57,Harvey Norman,Gadget purchase,Shopping
2025-04-08 02:09:16.634721,211.21,Redbox Karaoke,Karaoke session,Entertainment
2024-10-02 14:27:33.328433,57.56,OldTown White Coffee,Takeaway sushi,Food & Drink
2024-10-14 04:48:42.752093,223.27,myNEWS,Weekly groceries,Groceries
2024-08-25 13:25:01.317853,33.26,MRT,Toll payment,Transport
2025-05-06 03:59:18.105244,10.78,LRT Kelana Jaya,E-hailing service,Transport
2025-05-27 04:23:06.617085,40.81,Haidilao,Ice cream treat,Food & Drink
2025-01-19 22:57:43.827356,113.33,District 21,Family outing,Entertainment
2024-11-23 19:06:18.269974,53.22,Breakout Escape Room,Concert tickets,Entertainment
2024-11-18 10:27:08.538489,135.95,Disney+ Hotstar,Streaming service,Bills & Utilities
2024-08-11 21:29:29.278028,158.68,Jaya Grocer,Fresh produce,Groceries
2024-08-11 07:05:44.683240,10.87,Firefly Airlines,Ride to work,Transport
2024-12-24 10:02:35.996153,324.0,Disney+ Hotstar,Internet bill,Bills & Utilities
2025-01-12 11:41:56.616199,234.68,GNC Live Well,First aid supplies,Health
2025-03-11 09:08:06.366266,208.33,Caring Pharmacy,Physiotherapy session,Health
2025-06-29 01:20:54.305840,32.08,Petronas,Parking fee,Transport
2024-10-31 11:02:29.627342,10.92,RapidKL Bus,Fuel top-up,Transport
2025-02-18 01:19:59.369808,50.61,Sushi King,Team lunch,Food & Drink
2025-02-09 07:13:26.611344,326.85,Kinokuniya,Formal dress,Shopping
2025-04-28 16:38:05.071436,123.58,PlayStation Store,Theme park tickets,Entertainment
2025-07-27 01:44:00.660315,219.0,KidZania,Video game subscription,Entertainment
2025-02-03 20:15:44.651966,151.43,YouTube Premium,Cable TV subscription,Bills & Utilities
2024-11-14 16:53:12.478412,786.19,Kinokuniya,Phone case,Shopping
2025-07-05 20:17:18.761348,17.34,Grab,Commuter train pass,Transport
2025-03-20 05:54:59.298574,35.27,Caltex,Public transport pass,Transport
2025-02-25 06:49:12.697427,104.23,Cotton On,Furniture purchase,Shopping
2025-02-16 18:37:08.732536,73.18,Steam Games,Family outing,Entertainment
2024-11-22 21:18:57.019759,15.94,GNC Live Well,Vitamins purchase,Health
2024-08-18 01:05:18.634852,38.08,Maxis,Sewerage bill,Bills & Utilities
2025-07-07 02:21:59.906955,107.9,B.I.G.,Buying fresh milk and bread,Groceries
2025-04-28 06:28:57.897358,342.63,Apple Store,Laptop purchase,Shopping
2025-06-07 18:21:39.112047,41.92,Starbucks,Takeaway sushi,Food & Drink
2025-04-30 19:00:13.008471,19.74,Caltex,Train ticket,Transport
2025-02-24 05:40:42.483795,23.11,Touch 'n Go eWallet,Road trip fuel,Transport
2025-04-25 03:33:39.038771,213.96,Adobe Creative Cloud,Gas bill,Bills & Utilities
2025-03-18 18:20:50.692508,11.98,KTM Komuter,Road trip fuel,Transport
2025-02-03 19:20:32.104600,55.33,District 21,Video game subscription,Entertainment
2025-06-17 19:25:28.263407,50.83,Disney+ Hotstar,Software subscription,Bills & Utilities
2025-01-23 15:55:02.346617,55.9,Gong Cha,Ice cream treat,Food & Drink
2025-02-28 05:14:39.142959,230.02,Sunway Medical Centre,Doctor's visit,Health
2024-10-20 18:35:33.444813,45.59,Klinik Kesihatan,New glasses,Health
2025-01-30 12:22:14.319018,99.17,B.I.G.,Weekly groceries,Groceries
2024-10-04 02:01:55.573632,610.11,Shopee,Sneakers,Shopping
2024-09-18 23:21:20.230942,307.61,Google Workspace,Monthly subscription,Bills & Utilities
2025-03-02 18:13:28.120790,139.63,Steam Games,Escape room game,Entertainment
2025-01-16 10:45:11.746096,92.39,Klinik Kesihatan,First aid supplies,Health
2025-04-28 16:08:07.401335,666.89,Nike Store,Sporting goods,Shopping
2025-05-18 00:57:07.476832,100.93,Giant,Bulk buying,Groceries
2025-06-17 03:49:41.189858,85.08,All IT Hypermarket,Fashion accessories,Shopping
2025-05-06 17:56:48.773518,236.24,Loud Speaker Karaoke,Aquarium visit,Entertainment
2025-07-11 16:27:25.891455,30.28,The Coffee House,Birthday celebration dinner,Food & Drink
2024-10-01 19:20:44.756942,344.88,Village Grocer,Bulk buying,Groceries
2025-01-22 13:01:59.891752,80.62,Econsave,Restocking pantry,Groceries
2025-02-16 23:08:00.791301,158.03,Breakout Escape Room,Live event,Entertainment
2024-09-04 17:29:16.249032,176.83,Maxis,Sewerage bill,Bills & Utilities
2025-05-11 18:46:29.263932,8.14,Petronas,E-hailing service,Transport
2024-10-13 22:21:50.186734,31.57,Easybook,Toll payment,Transport
2025-03-24 01:27:14.103745,46.92,Kyochon,Ice cream treat,Food & Drink
2025-03-31 15:52:45.343938,29.41,LRT Kelana Jaya,Bus ticket to Penang,Transport
2025-06-27 09:59:02.294695,51.11,SOCAR,Fuel top-up,Transport
2025-07-09 04:52:09.021291,547.49,Cotton On,Office attire,Shopping
2025-03-26 13:00:25.798785,79.72,BIG Pharmacy,Prescription medicine,Health
2025-01-05 16:39:21.198779,16.99,The Alley,Quick bite,Food & Drink
2025-05-19 07:38:30.654969,22.09,KLIA Transit,Expressway toll,Transport
2024-08-07 16:56:02.811483,73.36,TGV Cinemas,Stand-up comedy show,Entertainment
2025-03-20 18:28:50.441583,85.85,Steam Games,Stand-up comedy show,Entertainment
2025-02-22 14:49:14.360421,174.7,Celcom,Monthly subscription,Bills & Utilities
2025-06-05 03:41:04.161180,25.6,Econsave,Dairy and eggs,Groceries
2025-05-28 00:33:39.606912,88.49,Astro,Mobile postpaid,Bills & Utilities
2024-10-27 01:07:58.709289,9.42,Pizza Hut,Lunch with colleagues,Food & Drink
2025-06-14 13:12:56.648257,24.78,Setel,Fuel top-up,Transport
2024-08-25 07:15:42.885109,435.13,Apple Store,Sporting goods,Shopping
2025-07-28 07:14:48.552681,92.63,Sunway Lagoon,Karaoke session,Entertainment
2025-07-24 03:52:40.954066,104.39,Shopee,New clothes,Shopping
2025-03-12 14:48:54.536254,19.67,KLIA Ekspres,Fuel top-up,Transport
2025-02-24 06:40:02.505963,34.71,Burger King,Weekend brunch,Food & Drink
2025-02-26 17:42:05.384877,114.66,Genting SkyWorlds,Stand-up comedy show,Entertainment
2025-01-24 19:39:31.643361,14.3,KTM Komuter,Parking fee,Transport
2025-05-04 06:40:04.254896,41.61,Firefly Airlines,Expressway toll,Transport
2024-09-13 23:53:14.469219,256.38,B.I.G.,Baking supplies,Groceries
2025-01-09 10:58:57.461716,100.27,Guardian,Fitness supplements,Health
2024-12-12 08:20:42.270161,423.62,IKEA,Fashion accessories,Shopping
2025-07-11 08:39:02.703526,199.14,Steam Games,Online game purchase,Entertainment
2024-11-30 14:18:06.757182,132.26,Klinik Kesihatan,Health screening,Health
2025-05-22 04:13:15.557844,39.22,Maxis,Internet bill,Bills & Utilities
2025-05-30 11:55:06.964546,190.69,PlayStation Store,Magazine subscription,Entertainment
2024-09-23 20:16:27.162922,54.78,SYABAS,Software subscription,Bills & Utilities
2025-04-14 09:40:04.829200,781.0,All IT Hypermarket,Formal dress,Shopping
2024-10-10 17:35:41.010911,112.91,Optical 88,Physiotherapy session,Health
2024-08-09 00:52:38.706669,58.72,Secret Recipe,Lunch with colleagues,Food & Drink
2025-07-08 12:53:56.002527,132.77,NSK Trade City,Baking supplies,Groceries
2024-11-22 19:54:58.979056,30.27,Disney+ Hotstar,Water bill,Bills & Utilities
2025-05-13 12:30:56.462711,194.04,BIG Pharmacy,Health screening,Health
2024-10-04 18:16:14.621178,25.03,The Alley,Lunch with colleagues,Food & Drink
2025-06-06 17:35:06.451954,26.5,SOCAR,Airport transfer,Transport
2024-11-18 16:38:38.492070,34.32,Popular Bookstore,Formal dress,Shopping
2025-07-20 08:44:33.896532,57.51,Secret Recipe,Weekend brunch,Food & Drink
2024-10-06 17:15:37.895167,750.46,Uniqlo,Electronics purchase,Shopping
2024-08-12 16:00:55.729816,202.32,GSC Cinemas,Adventure park tickets,Entertainment
2025-06-06 04:12:46.511775,27.02,Coffee Bean,Takeaway sushi,Food & Drink
2025-02-03 20:57:09.095823,23.17,Alpro Pharmacy,Eye check-up,Health
2024-12-11 20:48:33.643378,114.53,Unifi,Monthly subscription,Bills & Utilities
2025-02-01 09:45:32.794473,18.55,The Coffee House,Business dinner,Food & Drink
2025-03-04 10:02:05.375505,91.91,Sephora,Laptop purchase,Shopping
2024-10-21 06:59:43.626722,336.61,Adobe Creative Cloud,Cloud storage fee,Bills & Utilities
2024-09-28 09:09:34.595899,251.49,Google Workspace,Domain name renewal,Bills & Utilities
2025-01-26 15:11:49.307769,23.14,Domino's Pizza,Birthday celebration dinner,Food & Drink
2024-08-17 18:31:23.461630,23.13,Indah Water Konsortium,Mobile postpaid,Bills & Utilities
2024-09-12 13:21:19.524369,27.77,MRT,Expressway toll,Transport
2025-05-15 20:31:00.839127,31.05,KidZania,Aquarium visit,Entertainment
2025-06-08 23:13:50.214407,41.49,Setel,Commuter train pass,Transport
2025-01-12 16:56:40.408999,306.84,Astro,Domain name renewal,Bills & Utilities
2025-05-23 01:39:28.902432,612.94,IKEA,Appliance upgrade,Shopping
2025-03-31 10:26:53.375505,412.62,Times Bookstore,Handbag purchase,Shopping
2024-11-15 01:29:15.185468,56.2,Kyochon,Business dinner,Food & Drink
2024-09-29 04:18:06.303089,298.35,Digi,Domain name renewal,Bills & Utilities
2025-02-27 05:47:46.585428,15.92,The Coffee House,Team lunch,Food & Drink
2025-04-07 13:45:27.511860,42.12,OldTown White Coffee,Lunch with colleagues,Food & Drink
2025-04-26 10:51:40.525179,50.58,Burger King,Breakfast set,Food & Drink
2025-05-02 09:21:14.866832,120.33,Checkers Hypermarket,Dairy and eggs,Groceries
2024-12-21 09:15:46.055836,347.95,Lotus's,Buying snacks,Groceries
2025-03-09 13:10:28.120582,7.41,Haidilao,Dinner takeout,Food & Drink
2025-06-14 22:16:34.750978,313.49,Checkers Hypermarket,Organic food purchase,Groceries
2024-08-30 23:16:49.011096,159.3,Columbia Asia Hospital,New glasses,Health
2025-03-08 07:49:14.589538,169.99,Sunway Lagoon,Weekend movie,Entertainment
2024-09-06 17:05:12.209615,16.58,BIG Pharmacy,Skincare products,Health
2025-03-07 10:10:19.097281,55.71,Boost Juice,Quick bite,Food & Drink
2025-05-14 04:17:27.657513,40.37,McDonald's,Team lunch,Food & Drink
2025-01-11 04:42:42.191613,218.95,Typo,Appliance upgrade,Shopping
2024-11-02 20:42:42.078840,196.08,BIG Pharmacy,Fitness supplements,Health
2024-12-13 22:17:29.272393,196.14,iCare Dental,Prescription medicine,Health
2024-09-22 10:56:16.521362,10.17,Moovit,Fuel top-up,Transport
2025-02-19 09:44:05.412776,230.7,Caring Pharmacy,Specialist consultation,Health
2025-05-25 00:58:38.177371,32.47,Haidilao,Dinner takeout,Food & Drink
2025-06-03 17:13:07.078171,153.03,Anytime Fitness,Over-the-counter meds,Health
2025-07-04 02:06:36.572173,41.12,MRT,Flight ticket booking,Transport
2025-04-01 10:55:59.029778,177.74,Steam Games,Stand-up comedy show,Entertainment
2024-09-04 01:37:07.133349,475.97,Courts Mammoth,Birthday gift,Shopping
2025-05-08 17:48:42.035875,286.72,99 Speedmart,Weekly groceries,Groceries
2024-10-26 01:18:56.812686,36.64,Tealive,Coffee meeting,Food & Drink
2025-03-12 08:27:32.574299,36.39,myNEWS,Buying fresh milk and bread,Groceries
2025-04-08 17:23:55.445578,22.9,Petronas,E-hailing service,Transport
2024-10-27 14:23:22.500135,117.33,YouTube Premium,Mobile postpaid,Bills & Utilities
2025-07-08 15:08:59.530403,107.0,Google Workspace,Gas bill,Bills & Utilities
2025-05-29 04:42:21.542154,103.22,PlayStation Store,Magazine subscription,Entertainment
2025-05-24 22:07:52.275188,183.21,Watsons,Vitamins purchase,Health
2025-01-30 23:27:14.023589,187.22,Giant,Buying fresh milk and bread,Groceries
2025-03-21 00:22:41.354936,272.54,Celcom,Music streaming,Bills & Utilities
2025-06-08 14:25:11.886461,6.28,Grab,Commuter train pass,Transport
2025-08-04 02:36:05.280028,70.08,Sunway Lagoon,Concert tickets,Entertainment
2025-02-10 07:41:35.670476,74.42,Disney+ Hotstar,Music streaming,Bills & Utilities
2024-11-17 16:34:14.305480,192.86,Adobe Creative Cloud,Water bill,Bills & Utilities
2025-04-10 18:44:08.739612,303.15,Jaya Grocer,Beverages and snacks,Groceries
2024-12-03 18:09:54.200466,39.93,Spotify,Monthly subscription,Bills & Utilities
2024-12-02 06:35:49.213063,226.08,Columbia Asia Hospital,New glasses,Health
2025-06-16 11:11:40.406768,149.07,iCare Dental,Fitness supplements,Health
2024-11-24 19:55:15.344997,25.6,Sushi King,Boba tea,Food & Drink
2024-08-24 13:00:58.512053,231.13,Redbox Karaoke,Theme park tickets,Entertainment
2024-12-13 12:39:35.694310,287.38,Nike Store,Sneakers,Shopping
2024-12-14 05:02:08.092035,163.72,Indah Water Konsortium,Water bill,Bills & Utilities
2024-10-09 19:04:06.851096,143.3,iCare Dental,Prescription medicine,Health
2024-09-20 01:44:37.991328,58.66,Starbucks,Birthday celebration dinner,Food & Drink
2025-03-16 08:44:26.484809,155.23,Fitness First,Fitness supplements,Health
2024-11-11 04:20:11.260488,453.42,Mr. D.I.Y.,Office attire,Shopping
2025-06-06 08:45:48.494972,30.3,SOCAR,Expressway toll,Transport
2025-03-13 00:49:28.938754,255.47,Checkers Hypermarket,Beverages and snacks,Groceries
2025-05-07 11:53:12.926870,210.81,Spotify,Streaming service,Bills & Utilities
2025-02-01 18:07:07.447346,210.38,Klinik Kesihatan,Specialist consultation,Health
2025-07-28 16:03:14.350963,5.44,Domino's Pizza,Birthday celebration dinner,Food & Drink
2025-05-07 12:31:52.135316,233.11,Maxis,Cable TV subscription,Bills & Utilities
2025-05-31 10:19:12.624004,345.97,Econsave,Fresh produce,Groceries
2024-10-19 12:40:12.908067,653.85,Typo,New clothes,Shopping
2024-11-13 10:37:32.217988,52.37,OldTown White Coffee,Business dinner,Food & Drink
2024-11-13 15:15:27.917966,134.43,Genting SkyWorlds,Weekend movie,Entertainment
2025-01-26 10:08:01.145255,145.86,Digi,Phone bill,Bills & Utilities
2024-10-24 16:47:40.409328,170.47,Sunway Lagoon,Live event,Entertainment
2025-06-15 08:10:58.955865,421.81,Shopee,Home decor,Shopping
2025-07-12 18:44:39.541907,51.32,LRT Kelana Jaya,Bus fare,Transport
2025-04-01 11:44:13.424924,50.54,RapidKL Bus,Airport commute,Transport
2024-08-18 12:31:11.771012,59.1,KK Super Mart,Toiletries,Groceries
2025-03-24 18:10:50.949180,108.24,Guardian,Over-the-counter meds,Health
2024-08-10 05:35:08.711190,169.7,District 21,Family outing,Entertainment
2024-09-16 05:55:06.433002,58.88,Coffee Bean,Morning coffee,Food & Drink
2025-07-24 01:00:42.944288,216.9,District 21,Magazine subscription,Entertainment
2024-11-19 18:36:44.149507,24.9,Guardian,Over-the-counter meds,Health
2025-03-02 10:52:42.553050,334.11,Econsave,Buying fresh milk and bread,Groceries
2024-08-29 14:16:16.258093,328.74,Giant,Beverages and snacks,Groceries
2024-10-07 12:21:57.059241,307.12,KK Super Mart,Organic food purchase,Groceries
2024-12-15 11:42:12.682410,545.9,Sephora,Handbag purchase,Shopping
2025-06-13 16:33:07.305475,58.84,Breakout Escape Room,Aquarium visit,Entertainment
2024-12-18 17:29:16.549683,195.0,iCare Dental,Skincare products,Health
2024-12-09 20:21:07.763310,37.5,Shell,Expressway toll,Transport
2025-06-18 09:47:36.967273,236.43,Checkers Hypermarket,Bulk buying,Groceries
2024-12-22 13:03:06.168524,330.43,Decathlon,Birthday gift,Shopping
2025-04-05 03:26:39.876409,31.5,Petronas,Parking fee,Transport
2025-06-18 11:29:18.847240,135.35,Jaya Grocer,Beverages and snacks,Groceries
2024-09-06 03:11:17.058347,525.74,Amazon,Skincare haul,Shopping
2025-03-23 23:32:18.477071,134.61,GNC Live Well,Annual health check,Health
2024-12-20 09:47:55.849391,220.42,Sephora,Handbag purchase,Shopping
2024-09-04 20:53:22.226270,163.17,Unifi,Gas bill,Bills & Utilities
2024-08-17 23:38:31.023050,16.31,Starbucks,Birthday celebration dinner,Food & Drink
2024-10-03 11:08:37.850734,104.19,Optical 88,Fitness supplements,Health
2024-10-24 07:08:08.596090,71.93,Sunway Lagoon,Stand-up comedy show,Entertainment
2025-02-01 00:38:07.244434,47.06,Firefly Airlines,Train ticket,Transport
2025-03-26 10:56:57.322928,166.07,PlayStation Store,Theme park tickets,Entertainment
2025-06-22 13:40:32.053711,156.78,Genting SkyWorlds,Stand-up comedy show,Entertainment
2025-01-02 20:07:38.375123,20.48,Touch 'n Go eWallet,Ride to work,Transport
2025-04-10 10:15:24.952625,15.94,Guardian,New glasses,Health
2024-08-18 06:28:26.935172,155.59,Watsons,Doctor's visit,Health
2024-10-27 05:53:05.317136,41.26,Caltex,Fuel top-up,Transport
2025-07-05 08:40:05.876786,21.92,TGV Cinemas,Aquarium visit,Entertainment
2025-06-16 01:20:49.379430,578.28,Popular Bookstore,Handbag purchase,Shopping
2025-03-29 23:46:20.631055,87.04,Times Bookstore,Skincare haul,Shopping
2025-01-30 20:45:54.248250,194.58,Google Workspace,Cable TV subscription,Bills & Utilities
2025-05-14 10:27:48.694853,330.07,B.I.G.,Baking supplies,Groceries
2025-03-13 23:08:31.023332,9.47,Firefly Airlines,Airport commute,Transport
2025-07-26 04:48:23.946101,624.06,Uniqlo,Sneakers,Shopping
2024-10-19 23:38:22.549355,148.25,Klinik Mediviron,Eye check-up,Health
2025-02-01 18:09:29.579889,57.7,Easybook,Fuel top-up,Transport
2024-12-15 22:26:02.159980,133.29,District 21,Online game purchase,Entertainment
2024-09-16 16:45:31.509397,31.91,Boost Juice,Ice cream treat,Food & Drink
2024-10-27 22:13:01.061246,51.45,LRT Kelana Jaya,Public transport pass,Transport
2024-08-29 21:36:09.847633,238.25,Lazada,Handbag purchase,Shopping
2024-10-02 04:05:53.875226,141.76,Fitness First,Dental check-up,Health
2025-03-20 01:26:55.766747,194.01,Breakout Escape Room,Theme park tickets,Entertainment
2025-06-16 04:40:45.406038,137.81,Redbox Karaoke,Magazine subscription,Entertainment
2024-12-04 04:55:16.356968,505.21,Padini,Running shoes,Shopping
2024-10-27 17:01:35.275109,156.78,Redbox Karaoke,Karaoke session,Entertainment
2025-05-08 21:33:59.399638,48.71,Kyochon,Breakfast set,Food & Drink
2025-01-02 22:58:38.903760,44.43,Caltex,Bus fare,Transport
2024-09-08 17:22:04.214581,92.0,Optical 88,Physiotherapy session,Health
2024-12-11 18:28:00.781295,226.07,Lotus's,Fresh produce,Groceries
2024-10-14 14:04:27.903735,201.98,Pantai Hospital,Doctor's visit,Health
2025-02-12 01:11:45.500162,121.07,Guardian,Gym membership,Health
2024-08-31 04:18:09.813859,33.92,Moovit,E-hailing service,Transport
2024-12-07 16:22:52.038476,12.26,Secret Recipe,Boba tea,Food & Drink
2024-12-24 13:19:13.081284,129.05,Giant,Household items,Groceries
2024-09-20 15:14:58.196349,103.97,iCare Dental,Gym membership,Health
2024-11-05 11:15:08.110855,138.78,Netflix,Water bill,Bills & Utilities
2025-03-17 15:40:54.715752,69.71,SYABAS,Phone bill,Bills & Utilities
2025-03-10 10:16:46.801529,12.01,The Coffee House,Morning coffee,Food & Drink
2025-01-15 19:31:08.547959,15.36,KFC,Morning coffee,Food & Drink
2024-11-23 12:49:04.754230,179.32,Klinik Mediviron,Fitness supplements,Health
2025-07-03 12:29:56.577960,78.76,KK Super Mart,Weekly groceries,Groceries
2025-02-18 05:05:16.760016,11.23,The Alley,Breakfast set,Food & Drink
2024-09-06 03:02:35.859277,338.84,SYABAS,Phone bill,Bills & Utilities
2025-04-10 08:54:00.590298,47.06,Mamak ABC,Dessert,Food & Drink
2025-05-07 22:03:58.824051,99.32,Genting SkyWorlds,Online game purchase,Entertainment
2024-12-13 16:03:50.808244,55.42,Digi,Phone bill,Bills & Utilities
2025-05-01 10:23:47.679721,323.01,Checkers Hypermarket,Toiletries,Groceries
2025-06-20 02:19:29.206319,13.12,Easybook,Expressway toll,Transport
2024-09-15 14:27:00.663546,655.43,Typo,Gadget purchase,Shopping
2025-01-23 07:57:11.504073,183.44,Spotify,Internet bill,Bills & Utilities
2025-05-10 15:05:47.296500,71.56,Steam Games,Aquarium visit,Entertainment
2024-12-06 19:49:03.821995,137.63,Air Selangor,Music streaming,Bills & Utilities
2024-12-29 13:18:32.763862,91.76,Genting SkyWorlds,Weekend movie,Entertainment
2025-04-14 19:00:48.820059,189.59,Genting SkyWorlds,Karaoke session,Entertainment
2024-09-13 21:38:39.851476,220.54,KidZania,Video game subscription,Entertainment
2025-05-09 02:49:51.206253,29.36,Petronas,Car rental,Transport
2025-02-06 14:24:24.911339,111.05,GSC Cinemas,Concert tickets,Entertainment
2025-01-26 23:08:43.128653,557.5,Nike Store,Laptop purchase,Shopping
2024-08-05 22:43:52.605011,495.0,Kinokuniya,Sporting goods,Shopping
2025-03-02 17:41:24.900876,89.27,Spotify,Music streaming,Bills & Utilities
2024-11-02 05:17:27.724697,130.78,BMS Organics,Organic food purchase,Groceries
2024-08-23 10:05:28.931369,77.9,Indah Water Konsortium,Software subscription,Bills & Utilities
2025-04-03 11:49:41.257119,57.96,Kyochon,Healthy smoothie,Food & Drink
2025-03-14 06:57:59.194065,158.15,iCare Dental,Vitamins purchase,Health
2024-10-19 21:54:30.459118,305.46,Cold Storage,Household items,Groceries
2024-08-27 12:21:35.565766,436.84,H&M,Gadget purchase,Shopping
2025-03-28 08:23:41.907083,61.94,Redbox Karaoke,Magazine subscription,Entertainment
2024-11-30 05:24:48.666652,242.95,Steam Games,Aquarium visit,Entertainment
2025-04-15 03:16:23.822711,46.41,Sunway Lagoon,Magazine subscription,Entertainment
2025-03-10 04:00:32.916732,55.85,Marrybrown,Boba tea,Food & Drink
2024-12-31 16:00:16.406065,126.42,Caring Pharmacy,Prescription medicine,Health
2025-06-02 05:12:21.302097,52.45,McDonald's,Supper,Food & Drink
2024-12-31 04:16:28.830346,23.81,Genting SkyWorlds,Adventure park tickets,Entertainment
2025-04-03 11:00:45.296175,349.4,Jaya Grocer,Bulk buying,Groceries
2025-06-13 02:34:53.461638,428.89,Lazada,Appliance upgrade,Shopping
